Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
"SC2,Step2.2_Login_page",20,436,398,520,569,706,378,706,0.00%,.1,1.3,82.17
"SC2,Step2.3_Enter_login_credentials",20,638,620,768,790,1272,388,1272,0.00%,.1,1.4,186.13
"SC2,Step2.4_Login_provided",20,477,442,578,649,716,360,716,0.00%,.1,1.4,89.19
"SC2,Step2.5_Homepage",19,594,584,692,713,782,509,782,0.00%,.1,1.8,69.01
"SC2,Step2.5.1_go-to-category02",2,610,515,705,705,705,515,705,0.00%,.0,.4,95.00
"SC2,Step2.5.1_go-to-category03",2,585,460,710,710,710,460,710,0.00%,.0,.3,125.00
"SC2,Step2.5.1_go-to-category01",2,618,502,734,734,734,502,734,0.00%,.0,.4,116.00
"SC2,Step2.5.2_add_to_cart_product",19,244,231,337,344,483,44,483,5.26%,.1,.0,81.87
"SC2,Step2.5.3_back-to-cart",19,243,234,294,324,337,199,337,0.00%,.1,.2,36.73
"TS4,Step4.1.1_GoToCart",18,705,740,859,876,1030,386,1030,0.00%,.1,3.5,166.24
"TS4,Step4.1.2_GoToCart",18,193,190,213,220,240,169,240,0.00%,.1,.6,19.41
"TS4,Step4.2.1_GoToCheckout",18,729,619,1020,1111,1278,539,1278,0.00%,.1,3.3,210.26
"TS4,Step4.2.2_GoToCheckout",18,343,317,391,419,626,296,626,0.00%,.1,1.9,75.00
"TS4,Step4.2.3_GoToCheckout",18,198,192,230,244,245,166,245,0.00%,.1,.6,22.48
"TS4,Step4.3.1_EnterUserCredentials",18,361,338,419,423,565,305,565,0.00%,.1,.0,61.36
"TS4,Step4.3.2_EnterUserCredentials",18,377,345,451,556,611,308,611,0.00%,.1,2.0,82.12
"TS4,Step4.3.3_EnterUserCredentials",18,229,212,284,334,368,176,368,0.00%,.1,.6,51.88
"TS4,Step4.3.4_EnterUserCredentials",18,206,193,249,249,340,167,340,0.00%,.1,.0,39.52
"TS4,Step4.3.5_EnterUserCredentials",18,211,197,228,232,325,182,325,0.00%,.1,.6,31.45
"TS4,Step4.3_EnterUserCredentials",18,1386,1302,1462,1931,2023,1198,2023,0.00%,.1,3.3,223.53
"TS4,Step4.4.1_CheckingUserCredentials_Shipping",18,247,210,299,435,543,173,543,0.00%,.1,.0,93.23
"TS4,Step4.4.2_Continue2 Button",18,233,216,265,295,397,186,397,0.00%,.1,.1,48.30
"TS4,Step4.4.3_Continue2 Button",18,362,327,456,484,496,294,496,0.00%,.1,2.0,65.76
"TS4,Step4.4.4_Continue2 Button",18,339,324,347,383,606,297,606,0.00%,.1,1.9,67.82
"TS4,Step4.4.5_Continue2 Button",18,207,196,241,251,363,176,363,0.00%,.1,.6,42.65
"TS4,Step4.4_Continue2",18,1390,1292,1813,1877,1927,1159,1927,0.00%,.1,4.6,233.16
"TS4,Step4.5.1_Continue3 Button",18,242,219,333,334,379,178,379,0.00%,.1,.0,56.72
"TS4,Step4.5.2_Continue3 Button",18,226,220,246,248,278,190,278,0.00%,.1,.1,18.77
"TS4,Step4.5_Continue3",18,468,449,545,548,594,402,594,0.00%,.1,.1,53.55
"TS4,Step4.6.1_Continue4 Button",18,294,298,367,378,394,165,394,0.00%,.1,.0,60.18
"TS4,Step4.6.2_Continue4 Button",18,244,251,294,298,351,167,351,0.00%,.1,.1,44.49
"TS4,Step4.6_Continue4",18,539,529,629,643,644,332,644,0.00%,.1,.1,79.35
"TS4,Step4.7.1_ConfirmOrder",18,327,329,504,510,546,172,546,0.00%,.1,.0,135.23
"TS4,Step4.7.2_ConfirmOrder",18,452,441,515,594,634,354,634,0.00%,.1,1.3,71.31
"TS4,Step4.7_Confirm order",18,779,812,945,963,1061,533,1061,0.00%,.1,1.3,156.19
"SC1,Step1.5_logout",17,582,569,639,722,1045,383,1045,0.00%,.1,1.2,144.13
"SC1,Step1.6_homepage2",17,466,437,556,637,760,351,760,0.00%,.1,1.8,98.05
"SC2,Step2.5.1_go-to-category04",2,451,414,488,488,488,414,488,0.00%,.0,.4,37.00
"SC2,Step2.5.1_go-to-category05",2,569,432,707,707,707,432,707,0.00%,.0,.4,137.50
"SC2,Step2.5.1_go-to-category06",2,505,468,543,543,543,468,543,0.00%,.0,.3,37.50
"SC2,Step2.5.1_go-to-category07",2,627,626,629,629,629,626,629,0.00%,.0,.3,1.50
"SC2,Step2.5.1_go-to-category08",2,450,449,451,451,451,449,451,0.00%,.0,.3,1.00
"SC2,Step2.5.1_go-to-category09",2,565,515,616,616,616,515,616,0.00%,.0,.4,50.50
"SC2,Step2.5.1_go-to-category10",1,415,415,415,415,415,415,415,0.00%,2.4,62.7,0.00
TOTAL,638,443,360,762,1212,1432,44,2023,0.16%,2.1,35.9,303.02
